,ts_code,symbol,name,area,industry,fullname,market,list_date
1783,300394.SZ,300394,天孚通信,江苏,通信设备,苏州天孚光通信股份有限公司,创业板,20150217
1784,300395.SZ,300395,菲利华,湖北,玻璃,湖北菲利华石英玻璃股份有限公司,创业板,20140910
1785,300396.SZ,300396,迪瑞医疗,吉林,医疗保健,迪瑞医疗科技股份有限公司,创业板,20140910
1786,300397.SZ,300397,天和防务,陕西,通信设备,西安天和防务技术股份有限公司,创业板,20140910
1787,300398.SZ,300398,飞凯材料,上海,染料涂料,上海飞凯光电材料股份有限公司,创业板,20141009
1788,300399.SZ,300399,京天利,北京,互联网,北京无线天利移动信息技术股份有限公司,创业板,20141009
1789,300400.SZ,300400,劲拓股份,深圳,专用机械,深圳市劲拓自动化设备股份有限公司,创业板,20141010
1790,300401.SZ,300401,花园生物,浙江,食品,浙江花园生物高科股份有限公司,创业板,20141009
1791,300402.SZ,300402,宝色股份,江苏,专用机械,南京宝色股份公司,创业板,20141010
1792,300403.SZ,300403,汉宇集团,广东,家用电器,汉宇集团股份有限公司,创业板,20141030
1793,300404.SZ,300404,博济医药,广东,医疗保健,广州博济医药生物技术股份有限公司,创业板,20150424
1794,300405.SZ,300405,科隆股份,辽宁,化工原料,辽宁科隆精细化工股份有限公司,创业板,20141030
1795,300406.SZ,300406,九强生物,北京,生物制药,北京九强生物技术股份有限公司,创业板,20141030
1796,300407.SZ,300407,凯发电气,天津,电气设备,天津凯发电气股份有限公司,创业板,20141203
1797,300408.SZ,300408,三环集团,广东,元器件,潮州三环(集团)股份有限公司,创业板,20141203
1798,300409.SZ,300409,道氏技术,广东,陶瓷,广东道氏技术股份有限公司,创业板,20141203
1799,300410.SZ,300410,正业科技,广东,电器仪表,广东正业科技股份有限公司,创业板,20141231
1800,300411.SZ,300411,金盾股份,浙江,专用机械,浙江金盾风机股份有限公司,创业板,20141231
1801,300412.SZ,300412,迦南科技,浙江,医疗保健,浙江迦南科技股份有限公司,创业板,20141231
1802,300413.SZ,300413,芒果超媒,湖南,影视音像,芒果超媒股份有限公司,创业板,20150121
1803,300414.SZ,300414,中光防雷,四川,元器件,四川中光防雷科技股份有限公司,创业板,20150513
1804,300415.SZ,300415,伊之密,广东,专用机械,广东伊之密精密机械股份有限公司,创业板,20150123
1805,300416.SZ,300416,苏试试验,江苏,电器仪表,苏州苏试试验集团股份有限公司,创业板,20150122
1806,300417.SZ,300417,南华仪器,广东,电器仪表,佛山市南华仪器股份有限公司,创业板,20150123
1807,300418.SZ,300418,昆仑万维,北京,互联网,北京昆仑万维科技股份有限公司,创业板,20150121
1808,300419.SZ,300419,浩丰科技,北京,软件服务,北京浩丰创源科技股份有限公司,创业板,20150122
1809,300420.SZ,300420,五洋停车,江苏,机械基件,江苏五洋停车产业集团股份有限公司,创业板,20150217
1810,300421.SZ,300421,力星股份,江苏,机械基件,江苏力星通用钢球股份有限公司,创业板,20150217
1811,300422.SZ,300422,博世科,广西,环境保护,广西博世科环保科技股份有限公司,创业板,20150217
1812,300423.SZ,300423,鲁亿通,山东,电气设备,山东鲁亿通智能电气股份有限公司,创业板,20150217
1813,300424.SZ,300424,航新科技,广东,航空,广州航新航空科技股份有限公司,创业板,20150422
1814,300425.SZ,300425,环能科技,四川,环境保护,环能科技股份有限公司,创业板,20150216
1815,300426.SZ,300426,唐德影视,浙江,影视音像,浙江唐德影视股份有限公司,创业板,20150217
1816,300427.SZ,300427,红相股份,福建,电气设备,红相股份有限公司,创业板,20150217
1817,300428.SZ,300428,四通新材,河北,铝,河北四通新型金属材料股份有限公司,创业板,20150319
1818,300429.SZ,300429,强力新材,江苏,化工原料,常州强力电子新材料股份有限公司,创业板,20150324
1819,300430.SZ,300430,诚益通,北京,电器仪表,北京诚益通控制工程科技股份有限公司,创业板,20150319
1820,300431.SZ,300431,暴风集团,北京,互联网,暴风集团股份有限公司,创业板,20150324
1821,300432.SZ,300432,富临精工,四川,汽车配件,绵阳富临精工机械股份有限公司,创业板,20150319
1822,300433.SZ,300433,蓝思科技,湖南,元器件,蓝思科技股份有限公司,创业板,20150318
1823,300434.SZ,300434,金石东方,四川,化学制药,四川金石东方新材料设备股份有限公司,创业板,20150424
1824,300435.SZ,300435,中泰股份,浙江,机械基件,杭州中泰深冷技术股份有限公司,创业板,20150326
1825,300436.SZ,300436,广生堂,福建,化学制药,福建广生堂药业股份有限公司,创业板,20150422
1826,300437.SZ,300437,清水源,河南,化工原料,河南清水源科技股份有限公司,创业板,20150423
1827,300438.SZ,300438,鹏辉能源,广东,电气设备,广州鹏辉能源科技股份有限公司,创业板,20150424
1828,300439.SZ,300439,美康生物,浙江,医疗保健,美康生物科技股份有限公司,创业板,20150422
1829,300440.SZ,300440,运达科技,四川,软件服务,成都运达科技股份有限公司,创业板,20150423
1830,300441.SZ,300441,鲍斯股份,浙江,机床制造,宁波鲍斯能源装备股份有限公司,创业板,20150423
1831,300442.SZ,300442,普丽盛,上海,轻工机械,上海普丽盛包装股份有限公司,创业板,20150424
1832,300443.SZ,300443,金雷股份,山东,专用机械,金雷科技股份公司,创业板,20150422
1833,300444.SZ,300444,双杰电气,北京,电气设备,北京双杰电气股份有限公司,创业板,20150423
1834,300445.SZ,300445,康斯特,北京,电器仪表,北京康斯特仪表科技股份有限公司,创业板,20150424
1835,300446.SZ,300446,乐凯新材,河北,化工原料,保定乐凯新材料股份有限公司,创业板,20150423
1836,300447.SZ,300447,全信股份,江苏,电气设备,南京全信传输科技股份有限公司,创业板,20150422
1837,300448.SZ,300448,浩云科技,广东,软件服务,浩云科技股份有限公司,创业板,20150424
1838,300449.SZ,300449,汉邦高科,北京,电脑设备,北京汉邦高科数字技术股份有限公司,创业板,20150422
1839,300450.SZ,300450,先导智能,江苏,专用机械,无锡先导智能装备股份有限公司,创业板,20150518
1840,300451.SZ,300451,创业慧康,浙江,软件服务,创业慧康科技股份有限公司,创业板,20150514
1841,300452.SZ,300452,山河药辅,安徽,化学制药,安徽山河药用辅料股份有限公司,创业板,20150515
1842,300453.SZ,300453,三鑫医疗,江西,医疗保健,江西三鑫医疗科技股份有限公司,创业板,20150515
1843,300454.SZ,300454,深信服,深圳,软件服务,深信服科技股份有限公司,创业板,20180516
1844,300455.SZ,300455,康拓红外,北京,运输设备,北京康拓红外技术股份有限公司,创业板,20150515
1845,300456.SZ,300456,耐威科技,北京,元器件,北京耐威科技股份有限公司,创业板,20150514
